Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
The Hare With Amber Eyes: A Hidden Inheritance,['Edmund De Waal'],ePUB,18.99,18.99,1407052470,2010-06-03,Random House,368
Logic,['Graham Priest'],ePUB and PDF,11,8.25,0191579483,1999-12-01,Oxford University Press,128
Percy Jackson and the Titan's Curse,['Rick Riordan'],ePUB,12.99,12.99,0141919132,2008-05-01,Penguin Books Ltd,304
One with You,['Sylvia Day'],ePUB,15.99,15.99,140591646X,2016-04-05,Penguin Books Ltd,368
The Enemy,['Charlie Higson'],ePUB,9.99,9.99,0141931841,2009-09-03,Penguin Random House Children's UK,432
Book not found for ISBN 9780141347851,,,,,,,,
It's a Long Story,"['Willie Nelson', 'David Ritz']",E-Book,0,0,0316403563,2015-05-05,Little Brown and Company,400
The Holy Roman Empire,['Peter H. Wilson'],ePUB,18.99,18.99,0141956917,2016-01-28,Penguin Books Ltd,600
No One Home,['Tim Weaver'],ePUB,15.99,15.99,1405939508,2019-05-16,Penguin Books Ltd,400
Book not found for ISBN 9780307271464,,,,,,,,
The Librarian,['Salley Vickers'],ePUB,15.99,15.99,0241330254,2018-04-26,Penguin Books Ltd,400
Atlas Shrugged,['Ayn Rand'],ePUB,6.99,6.99,1101137193,2005-04-21,Penguin Publishing Group,1192
Quick Cooking for Diabetes,"['Louise Blair', 'Norma McGough']",ePUB,10.99,10.99,0600630404,2014-09-22,Octopus,128
Reached,['Ally Condie'],ePUB,9.99,9.99,0141344342,2012-11-30,Penguin Random House Children's UK,528
Centurion (Eagles of the Empire 8),['Simon Scarrow'],ePUB,12.99,12.99,0755350898,2008-09-04,Headline,544
Charade,['Lisa Marie Rice'],ePUB,5.99,5.99,0997427736,2018-05-15,Lisa Marie Rice,
The Dalai Lama's Cat,['David Michie'],ePUB,1.99,1.99,1401940595,2012-10-01,Hay House,217
Underworld London,['Catharine Arnold'],ePUB,13.99,13.99,0857201174,2012-07-05,Simon & Schuster UK,352
We,"['Yevgeny Zamyatin', 'Natasha Randall']",ePUB,23.99,19.99,0307432866,2007-12-18,Random House Publishing Group,
Book not found for ISBN 9780241334690,,,,,,,,
Book not found for ISBN 9780307390530,,,,,,,,
The Five People You Meet in Heaven,['Mitch Albom'],ePUB,13.99,13.99,1401388884,2007-04-01,Hachette Books,208
The Conscience Of The Rich,['C.P. Snow'],PDF,14.9,14.9,0755118383,2010-01-16,,328
The Eagle's Prophecy (Eagles of the Empire 6),['Simon Scarrow'],ePUB,12.99,12.99,0755350871,2008-09-04,Headline,448
The Godfather,['Mario Puzo'],ePUB,15.99,15.99,1448106893,2012-11-30,Random House,608
Life 3.0,['Max Tegmark'],ePUB,15.99,15.99,0141981792,2017-08-29,Penguin Books Ltd,400
Lonely Planet's Ultimate Eatlist,['Lonely Planet Food'],ePUB,39.99,27.95,1787019764,2018-08-01,Lonely Planet Publications (eBooks),
Bermondsey Boy,['Tommy Steele'],ePUB,14.99,14.99,0141903015,2007-04-05,Penguin Books Ltd,320
Birdsong,['Sebastian Faulks'],ePUB,15.99,15.99,140705256X,2010-02-23,Random House,528
Around My French Table,['Dorie Greenspan'],ePUB,7.99,7.99,0547504810,2010-10-08,HarperCollins,
The Year of Less,['Cait Flanders'],ePUB,2.99,2.99,1401953522,2018-01-16,Hay House,
The God Chasers Expanded Ed.,['Tommy Tenney'],ePUB,19.06,15.99,0768499542,2012-03-18,"Destiny Image, Inc.",0
The Difference a Day Makes,['Carole Matthews'],ePUB,12.99,12.99,1405523700,2013-01-01,"Little, Brown Book Group",464
Mercy,['Jussi Adler-Olsen'],ePUB,15.99,15.99,0141962518,2011-05-12,Penguin Books Ltd,512
The First Rumpole Omnibus,['John Mortimer'],ePUB,16.99,16.99,014192800X,2000-01-01,Penguin Books Ltd,560
The Modigliani Scandal,['Ken Follett'],ePUB,12.35,8.95,0330465600,2008-09-04,,0
The Westing Game (Puffin Modern Classics),['Ellen Raskin'],ePUB,13.19,10.99,1101157453,2004-04-12,Penguin Young Readers Group,192
Hamlyn All Colour Cookery: 200 Super Soups,['Sara Lewis'],ePUB,6.99,6.99,0600623009,2007-09-07,Octopus,240
Our Street,"[""Gilda O'Neill""]",ePUB,15.99,15.99,014194661X,2004-07-01,Penguin Books Ltd,320
Legend,['Marie Lu'],ePUB,4.99,4.99,014133942X,2012-02-02,Penguin Random House Children's UK,368
Gone Girl,['Gillian Flynn'],ePUB,11.99,11.99,0297859404,2012-05-24,Orion,320
The Fate of Ten,['Pittacus Lore'],ePUB,15.99,15.99,1405913657,2015-09-10,Penguin Books Ltd,384
The Blade Itself,['Joe Abercrombie'],ePUB,12.99,12.99,0575091509,2009-06-18,Orion,544
The Battle of Midway,['Professor Emeritus of History Craig L Symonds'],E-Book,0,0,1283297078,2011-09-07,"Oxford University Press, USA",464
Book not found for ISBN 9780307272119,,,,,,,,
The Unbreakable Curse (Accursed Archangels #1),['Alexia Purdy'],ePUB,0,0,1370201915,2018-03-26,Melancholy Muse Press,
Sheer Mischief,['Jill Mansell'],ePUB,12.99,12.99,0755351851,2010-10-06,Headline,512
The Heart is a Lonely Hunter,['Carson McCullers'],ePUB,15.99,15.99,0718196082,2012-04-26,Penguin Books Ltd,352
Where Do Diggers Sleep at Night?,"['Brianna Caplan Sayres', 'Christian Slade']",ePUB,11.99,10.99,0375980989,2012-05-22,Random House Children's Books,
The Constant Gardener,['John le Carré'],ePUB,15.99,15.99,0241322340,2018-09-27,Penguin Books Ltd,592
Snow Crash,['Neal Stephenson'],ePUB,15.99,15.99,0141924047,2000-01-01,Penguin Books Ltd,448
The Great Gatsby,['F. Scott Fitzgerald'],ePUB,11.99,11.99,074324639X,2003-05-27,Scribner,165
Mercy Blade,['Faith Hunter'],ePUB,13.19,10.99,110147677X,2011-01-04,Penguin Publishing Group,
Violent Delights,['Jessica Hawkins'],ePUB,5.99,5.99,0998815594,2019-03-19,"518 Books, Inc.",
Blue Gold,['Clive Cussler'],ePUB,12.99,12.99,0743423089,2000-08-01,Pocket Books,400
Pranklopedia,['Julie Winterbottom'],ePUB,19.99,19.99,0761176853,2013-04-23,Workman Publishing Company,250
MaddAddam,['Margaret Atwood'],ePUB,11.99,11.99,0748130195,2014-08-07,"Little, Brown Book Group",496
The Undoing Project,['Michael Lewis'],ePUB,15.99,15.99,0141983035,2016-12-06,Penguin Books Ltd,320
Telling Tales,['Ann Cleeves'],ePUB,10.4,7.5,0330528408,2011-02-03,,0
Ghosts of Spain: Travels Through a Country's Hidden Past,['Giles Tremlett'],ePUB,16.49,14.99,0571247903,2011-07-15,Faber and Faber,496
Games People Play,['Eric Berne'],ePUB,14.99,14.99,0141938366,2000-01-01,Penguin Books Ltd,176
Bye Baby,['Daniel Donnelly'],ePUB,4.99,4.99,0648257711,2018-07-02,Daniel Donnelly,312
I Am Zlatan Ibrahimovic,['Zlatan Ibrahimovic'],ePUB,14.99,14.99,0241966841,2013-06-27,Penguin Books Ltd,352
Book not found for ISBN 9780071817196,,,,,,,,
Kiss Me Tonight,['Emma Hart'],ePUB,6.78,6.78,0463893999,2019-09-24,Emma Hart,
The F-Factor Diet,['Tanya Zuckerbrot'],ePUB,13.7,11.99,110120334X,2007-12-04,Penguin Publishing Group,288
"Hostile Witness, a Josie Bates Thriller",['Rebecca Forster'],ePUB,0,0,1102466557,2015-11-13,Rebecca Forster,
Sea Lord,['Bernard Cornwell'],ePUB,15.99,15.99,0141928921,2006-11-02,Penguin Books Ltd,320
Cause Of Death,['Patricia Cornwell'],ePUB,4.99,4.99,0748109323,2008-09-04,"Little, Brown Book Group",384
The Secret Commonwealth: The Book of Dust Volume Two,"['Philip Pullman', 'Christopher Wormell']",ePUB,14.99,14.99,0241373360,2019-10-03,Penguin Random House Children's UK,784
Fair Stood the Wind for France,['H. E. Bates'],ePUB,15.99,15.99,0141904984,2005-04-07,Penguin Books Ltd,256
Home Ec for Everyone: Practical Life Skills in 118 Projects,"['Sharon Bowers', 'David Bowers']",Paperback,27.75,27.75,1523512377,2023-10-30,Workman,240
Book not found for ISBN 9780241321997,,,,,,,,
The Taking of Annie Thorne,['C. J. Tudor'],ePUB,15.99,15.99,1405930985,2019-02-21,Penguin Books Ltd,352
Knife Of Dreams,['Robert Jordan'],ePUB,12.99,12.99,0748115447,2010-08-24,"Little, Brown Book Group",832
The Water Will Come,['Jeff Goodell'],ePUB,20.99,20.99,0316260231,2017-10-24,"Little, Brown and Company",352
Tom Clancy's Power and Empire,['Marc Cameron'],ePUB,15.99,15.99,1405935057,2017-11-30,Penguin Books Ltd,432
Dead Right,['Peter Robinson'],ePUB,12.35,8.95,0330469320,2008-09-04,,0
"Quran English Translation. Clear, Easy to Read, in Modern English.",['Talal Itani'],ePUB,0,0,1311614702,2015-05-17,Talal Itani,
The Executioner,['Chris Carter'],ePUB,4.99,4.99,0857200135,2010-07-08,Simon & Schuster UK,480
Book not found for ISBN 9780156035002,,,,,,,,
Revenge,['Martina Cole'],ePUB,11.99,11.99,0755375645,2013-10-24,Headline,512
Roller-Coaster,['Ian Kershaw'],ePUB,18.99,18.99,0241187176,2018-08-30,Penguin Books Ltd,704
The Chestnut Man,"['Søren Sveistrup', 'Caroline Waight']",ePUB,15.99,15.99,140593977X,2019-01-10,Penguin Books Ltd,400
Hot Milk,['Deborah Levy'],ePUB,15.99,15.99,024196802X,2016-03-24,Penguin Books Ltd,208
Don't Blink,['James Patterson'],ePUB,15.99,15.99,1407058118,2010-08-05,Random House,496
Wailing Ghosts,"['Pu Songling', 'John Minford']",ePUB,1.99,1.99,0141398175,2015-02-26,Penguin Books Ltd,80
"Thinking, Fast and Slow",['Daniel Kahneman'],ePUB,18.99,18.99,0141918926,2011-11-03,Penguin Books Ltd,512
Twilight,['Stephenie Meyer'],ePUB,11.99,11.99,0748112510,2009-02-26,"Little, Brown Book Group",464
Dreamfever,['Karen Marie Moning'],ePUB,13.19,10.88,0440338786,2009-08-18,Random House Publishing Group,
Fallen,['Benedict Jacka'],ePUB,11.99,11.99,0356511111,2019-10-10,"Little, Brown Book Group",384
The Law of Attraction,"['Esther Hicks', 'Jerry Hicks']",ePUB,18.34,14.99,140191926X,2006-10-01,Hay House,194
The Glass Room,['Simon Mawer'],Paperback,22.99,20.4,034912132X,2010-08-01,Little Brown,416
The Grapes of Wrath,"['Robert DeMott', 'John Steinbeck']",ePUB,15.99,15.99,014191503X,2001-04-26,Penguin Books Ltd,544
Matilda,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,0141929456,2003-03-06,Penguin Random House Children's UK,256
Say You're Sorry,['Ian C.P. Irvine'],ePUB,0,0,1370124953,2017-12-29,Ian C.P. Irvine,
Voices In Summer,['Rosamunde Pilcher'],ePUB,12.99,12.99,0751558672,2014-07-10,"Little, Brown Book Group",288
Keep Your Brain Alive,"['Lawrence Katz', 'Manning Rubin']",Paperback,20.25,20.25,0761168931,2014-06-02,Workman,204
Book not found for ISBN 9780230739062,,,,,,,,
The Cabin,"['Jørn Lier Horst', 'Anne Bruce']",ePUB,15.99,15.99,1405941626,2019-08-08,Penguin Books Ltd,400
Down a Dark Road,['Linda Castillo'],ePUB,14.95,11.99,1250121302,2017-07-11,St. Martin's Publishing Group,
An Indigenous Peoples' History of the United States,['Roxanne Dunbar-Ortiz'],ePUB,26.34,21.99,0807000418,2014-09-16,Beacon Press,
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,"['Mike Chapple', 'James Michael Stewart', 'Darril Gibson']",ePUB,75.99,75.99,1119475872,2018-04-16,Wiley,1104
The Little Book of Common Sense Investing,['John C. Bogle'],ePUB,23.99,23.99,0470893338,2010-05-21,Wiley,240
Book not found for ISBN 9780307459923,,,,,,,,
Churchill,['Andrew Roberts'],ePUB,18.99,18.99,0241205646,2018-10-04,Penguin Books Ltd,1152
The Saddest Girl in the World,['Cathy Glass'],ePUB,12.99,12.99,0007321570,2009-03-20,HarperCollins Publishers,320
Don't Touch My Hair,['Emma Dabiri'],ePUB,15.99,15.99,0141986298,2019-05-02,Penguin Books Ltd,240
Moosewood Restaurant New Classics,['Moosewood Collective'],ePUB,0,0,1101905107,2015-08-18,Potter/Ten Speed/Harmony/Rodale,
The Bell Jar,['Sylvia Plath'],ePUB,16.49,14.99,0571248209,2008-11-20,Faber & Faber,240
Matter,['Iain M. Banks'],Paperback,22.99,20.35,1841494194,2009-02-01,Little Brown,656
The Silver Palate Cookbook,"['Sheila Lukins', 'Julee Rosso']",ePUB,29.99,29.99,0761179585,2007-04-20,Workman Publishing Company,464
Moby-Dick,['Herman Melville'],ePUB,1.45,1.45,0486114341,2012-02-13,Dover Publications,464
The Book of Souls,['James Oswald'],ePUB,15.99,15.99,1405913177,2012-11-22,Penguin Books Ltd,400
Lazybones,['Mark Billingham'],Paperback,26.4,26.4,0751548766,2012-04-24,Little Brown,496
The Girl With All The Gifts,['M. R. Carey'],ePUB,11.99,11.99,0748123792,2014-01-14,"Little, Brown Book Group",416
The Last Kingdom,['Bernard Cornwell'],Paperback,22.99,20.35,000721801X,2005-10-03,HarperCollins Publishers,327
"The Zombie Chronicles, Book 1",['Mark Mulle'],ePUB,0,0,1370148720,2016-10-12,Mark Mulle,
Appaloosa Summer,['Tudor Robins'],ePUB,4.99,4.99,0993683711,2023-10-25,Tudor Robins,
The Lost World,['Sir Arthur Conan Doyle'],ePUB,1.45,1.45,0486113736,2012-08-22,Dover Publications,176
Why Does He Do That?,['Lundy Bancroft'],ePUB,25.7,20.99,1101220732,2003-09-02,Penguin Publishing Group,432
The Establishment,['Owen Jones'],ePUB,15.99,15.99,0141975008,2014-09-04,Penguin Books Ltd,288
The Mystery of Mercy Close,['Marian Keyes'],ePUB,15.99,15.99,0718198271,2012-09-13,Penguin Books Ltd,528
Thud!,['Terry Pratchett'],ePUB,15.99,15.99,1407035436,2009-12-01,Transworld,464
Cinder,['Marissa Meyer'],ePUB,12.99,12.99,0141971746,2012-01-05,Penguin Random House Children's UK,400
Book not found for ISBN 9780062043689,,,,,,,,
The Complete Guide To Clinical Aromatherapy and the Essential Oils of The Physical Body,['Elizabeth Ashley'],ePUB,0,0,1310718598,2015-05-18,Elizabeth Ashley,
Introducing Foucault,"['Chris Horrocks', 'Zoran Jevtic']",E-Book,0,0,1281372064,2004-01-01,Icon Books Limited,175
Stuff Matters,['Mark Miodownik'],ePUB,15.99,15.99,014197074X,2013-06-06,Penguin Books Ltd,352
Oh! to be in England,['H. E. Bates'],ePUB,15.99,15.99,014193865X,2006-11-30,Penguin Books Ltd,128
Code,['Charles Petzold'],ePUB,53.89,53.89,0735638721,2000-10-11,Pearson Technology Group,400
Darkest Fear,['Harlan Coben'],ePUB,15.34,12.31,0307483584,2008-11-12,Random House Publishing Group,
Cursor's Fury,['Jim Butcher'],ePUB,11.99,11.99,0748111883,2009-07-02,"Little, Brown Book Group",512
Rooftoppers,['Katherine Rundell'],ePUB,9.99,9.01,0571280609,2013-02-26,Faber & Faber,288
Book not found for ISBN 9780141373041,,,,,,,,
Maigret and the Old People,"['Georges Simenon', 'Shaun Whiteside']",ePUB,15.99,15.99,0241303907,2018-06-07,Penguin Books Ltd,160
Behind Her Eyes,['Sarah Pinborough'],Hardcover,37.99,33.8,0008131961,2017-02-01,HarperCollins Publishers,384
Book not found for ISBN 9780141354231,,,,,,,,
Task Force Black,['Mark Urban'],ePUB,12.99,12.99,0748120025,2010-02-18,"Little, Brown Book Group",352
Words of Radiance,['Brandon Sanderson'],ePUB,15.99,15.99,0575097434,2014-03-06,Orion,1088
A Mercy,['Toni Morrison'],ePUB,15.99,15.99,1407016598,2010-01-26,Random House,176
Seven Principles for Making Marriage Work,"['John Phd Gottman', 'Nan Silver']",E-Book,0,0,1101902914,2015-01-01,Potter/Tenspeed/Harmony,
Triple,['Ken Follett'],ePUB,13.95,10.5,0330465821,2008-09-04,,0
All the Rage,['Cara Hunter'],ePUB,15.99,15.99,0241985129,2019-12-19,Penguin Books Ltd,416
Days of Rage,['Brad Taylor'],ePUB,37.95,37.95,0698159810,2014-07-15,Penguin Publishing Group,384
Book not found for ISBN 9780307271341,,,,,,,,
Veg,['Jamie Oliver'],ePUB,21.99,21.99,1405932260,2019-08-22,Penguin Books Ltd,288
Younger Next Year: The Exercise Program,['Chris Crowley'],ePUB,19.99,19.99,0761189637,2015-12-15,Workman Publishing Company,176
Book not found for ISBN 9780307351937,,,,,,,,
What I Know Now,['Ellyn Spragins'],Paperback,31.75,31.75,0767917901,2008-04-01,R WYLER & CO                  ,208
The Silence of the Girls,['Pat Barker'],ePUB,15.99,15.99,0241983215,2018-08-30,Penguin Books Ltd,368
Judge and Jury,"['James Patterson', 'Andrew Gross']",ePUB,12.99,12.99,0755387163,2011-04-28,Headline,330
Strange Dogs,['James S. A. Corey'],ePUB,2.99,2.99,0356504204,2017-07-18,"Little, Brown Book Group",112
Do Androids Dream Of Electric Sheep?,['Philip K Dick'],ePUB,9.99,9.99,0575097930,2010-04-01,Orion,208
Death Masks,['Jim Butcher'],ePUB,12.99,12.99,0748116109,2010-03-04,"Little, Brown Book Group",416
The Chain Of Curiosity,['Sandi Toksvig'],ePUB,12.99,12.99,1405527234,2013-01-24,"Little, Brown Book Group",320
Till We Meet Again,['Lesley Pearse'],ePUB,15.99,15.99,0141924993,2006-07-27,Penguin Books Ltd,512
Ship of Magic,['Robin Hobb'],Paperback,22.99,20.35,0008117454,2015-08-13,HarperCollins Publishers,896
The Second Half,"['Roy Keane', 'Roddy Doyle']",ePUB,12.99,12.99,0297608908,2014-10-09,Orion,288
Spring 2016 Young Adult Debut Novels,['Clarion Books'],ePUB,0,0,0544812158,2015-10-06,HarperCollins,
Thanos Rising,"['Jason Aaron', 'Simone Bianchi']",ePUB,13.19,10.99,1302369946,2014-06-04,Marvel Entertainment,
An Ice-cream War,['William Boyd'],ePUB,15.99,15.99,0141924594,2013-12-19,Penguin Books Ltd,384
Dog Days (Diary of a Wimpy Kid #4),['Jeff Kinney'],Hardcover,28.25,28.25,1419741888,2009-10-12,HARRY N ABRAMS INC            ,224
Ghost Town,['Rachel Caine'],ePUB,10.25,10.25,0749009403,2010-11-01,Allison & Busby,478
Book not found for ISBN 9780230764866,,,,,,,,
Fear Nothing (Detective D.D. Warren 7),['Lisa Gardner'],ePUB,11.99,11.99,0755388364,2014-01-07,Headline,384
A Necessary End,['Peter Robinson'],ePUB,12.35,8.95,0330514725,2009-08-21,,0
The Traitor Queen,['Trudi Canavan'],Paperback,22.99,20.4,1841495964,2013-07-30,Little Brown,544
The Halfling's Gem,['R.A. Salvatore'],ePUB,16.12,12.99,078695406X,2009-06-23,Wizards of the Coast Publishing,384
The Forty Rules of Love,['Elif Shafak'],ePUB,15.99,15.99,0241957109,2011-06-02,Penguin Books Ltd,368
Typhoon Pilot,['Desmond Scott'],E-Book,0,0,1306981867,1982-01-01,LEO COOPER,192
The Foxhole Court,['Nora Sakavic'],ePUB,0,0,1301529044,2015-05-10,Nora Sakavic,
Want to Play?,['P. J. Tracy'],ePUB,15.99,15.99,0141915129,2004-05-06,Penguin Books Ltd,496
The Eagle's Prey (Eagles of the Empire 5),['Simon Scarrow'],ePUB,12.99,12.99,0755350863,2008-09-04,Headline,448
Testing Business Ideas,"['David J. Bland', 'Alexander Osterwalder']",ePUB,35.99,35.99,1119551412,2019-11-06,Wiley,368
Redemption,"['Jussi Adler-Olsen', 'Martin Aitken']",ePUB,15.99,15.99,0141962534,2013-07-18,Penguin Books Ltd,640
How to Behave So Your Dog Behaves Revised and Updated 2nd Edition,['Dr. Sophia Yin'],ePUB,20.53,16.99,0793842905,2010-07-01,"TFH Publications, Inc.",
The Tigress of Forli,['Elizabeth Lev'],ePUB,16.5,11.95,0547608047,2011-10-18,,320
The Dark Prophecy (The Trials of Apollo Book 2),['Rick Riordan'],ePUB,14.99,14.99,0141363983,2017-05-02,Penguin Random House Children's UK,528
The Templar's Secret,['Chloe M. Palov'],ePUB,15.99,15.99,0241958903,2012-11-20,Penguin Books Ltd,528
The Tempest,['William Shakespeare'],ePUB,1.45,1.45,0486113841,2012-03-22,Dover Publications,96
A Perfect Heritage,['Penny Vincenzi'],ePUB,11.99,11.99,0755377613,2014-06-19,Headline,528
Academ's Fury,['Jim Butcher'],ePUB,11.99,11.99,0748111735,2009-06-04,"Little, Brown Book Group",608
Antifragile,['Nassim Nicholas Taleb'],ePUB,16.99,16.99,0718197909,2012-11-27,Penguin Books Ltd,544
Having A Lovely Time,['Jenny Eclair'],ePUB,12.99,12.99,1405525401,2012-12-06,"Little, Brown Book Group",320
Gamble,['Felix Francis'],ePUB,15.99,15.99,0141959444,2011-09-01,Penguin Books Ltd,432
The Snow Girls,['Chris Mooney'],ePUB,15.99,15.99,1405932546,2018-11-15,Penguin Books Ltd,400
Book not found for ISBN 9780307279729,,,,,,,,
Ordinary Girls,['Jaquira Díaz'],ePUB,23.99,23.99,164375016X,2019-10-29,Algonquin Books,
Christmas at the Ragdoll Orphanage,['Suzanne Lambert'],ePUB,14.99,14.99,140591386X,2013-11-07,Penguin Books Ltd,304
Solis,['Kat Ross'],ePUB,4.39,4.39,0999048139,2021-08-01,Acorn Publishing,
Our Endless Numbered Days,['Claire Fuller'],ePUB,15.99,15.99,0241969018,2015-02-26,Penguin Books Ltd,368
The Dying Hours,['Mark Billingham'],ePUB,12.99,12.99,0748120505,2013-05-23,"Little, Brown Book Group",416
The Hunger Games Complete Trilogy,['Suzanne Collins'],ePUB,42.05,33.99,1407139983,2013-10-03,Scholastic,
The Mist,"['Ragnar Jónasson', 'Victoria Cribb']",ePUB,15.99,15.99,1405934891,2020-04-30,Penguin Books Ltd,320
Yew Tree Gardens,['Anna Jacobs'],ePUB,14.38,12.99,0749012102,2012-07-30,Allison & Busby,320
Brave the Tempest,['Karen Chance'],ePUB,11.72,10.99,1101990015,2019-07-30,Penguin Publishing Group,
Lolita,['Vladimir Nabokov'],ePUB,15.99,15.99,014139160X,2012-07-27,Penguin Books Ltd,336
Point Of Origin,['Patricia Cornwell'],ePUB,11.99,11.99,074810948X,2008-09-04,"Little, Brown Book Group",448
Stories of Your Life and Others,['Ted Chiang'],Paperback,19.95,17.95,0330426648,2005-03-01,Pan Macmillan,320
A Time to Die,['Wilbur Smith'],ePUB,13.95,10.5,0330468383,2008-09-04,,0
Back To Battle,['Max Hennessy'],ePUB,9.89,8.99,0755128001,2015-10-01,House of Stratus,334
Surface Detail,['Iain M. Banks'],ePUB,12.99,12.99,0748117334,2010-10-07,"Little, Brown Book Group",400
The Coming of the Third Reich,['Richard J. Evans'],ePUB,18.99,18.99,0718196805,2012-08-09,Penguin Books Ltd,656
The Honeyfield Bequest,['Anna Jacobs'],ePUB,14.38,12.99,0749020059,2016-08-18,Allison & Busby,300
